title,artist,album
Excuse Me Mr.,No Doubt,The Singles 1992-2003
Running,No Doubt,The Singles 1992-2003
Spiderwebs,No Doubt,The Singles 1992-2003
Simple Kind Of Life,No Doubt,The Singles 1992-2003
Don't Speak,No Doubt,The Singles 1992-2003
Ex-Girlfriend,No Doubt,The Singles 1992-2003
Trapped In A Box,No Doubt,The Singles 1992-2003
"Merry Christmas, Happy Holiday",Nsync,Home For Christmas
It's Gonna Be Me,*NSYNC,No Strings Attached
Tearin' Up My Heart,*NSYNC,*NSYNC
I Want You Back,*NSYNC,*NSYNC
Love and Memories,O.A.R.,The Stranger - EP
Don't Look Back in Anger,Oasis,"Why Did the Jack Say ""Yes?"""
 Second Chances (Ft.Patrick Stump),October Fall,A Season In Hell
Little Talks (Lyrics),Of Monsters and Men,
Troublemaker (feat. Flo Rida),Olly Murs,Troublemaker
When the Stars Go Blue,Tyler Hilton,One Tree Hill
The Good Kind,The Wreckers,One Tree Hill Soundtrack
Sitting on the Dock of the Bay,Otis Reading,Oldies But Goodies
Blow Me (One Last Kiss),P!nk,Blow Me (One Last Kiss)
Fuckin' Perfect,P!nk,Greatest Hits... So Far!!!
Funhouse,P!nk,Greatest Hits... So Far!!!
Get the Party Started,P!nk,Greatest Hits... So Far!!!
God Is a DJ,P!nk,Greatest Hits... So Far!!!
Just Like a Pill,P!nk,Greatest Hits... So Far!!!
Please Don't Leave Me,P!nk,Greatest Hits... So Far!!!
So What,P!nk,Greatest Hits... So Far!!!
Sober,P!nk,Greatest Hits... So Far!!!
Trouble,P!nk,Greatest Hits... So Far!!!
U + Ur Hand,P!nk,Greatest Hits... So Far!!!
Who Knew,P!nk,Greatest Hits... So Far!!!
There You Go,P!nk,Greatest Hits...So Far!!! (Deluxe Version)
True Love,P!nk,The Truth About Love
Just Give Me a Reason,P!nk,The Truth About Love
London Beckoned Songs About Money Written By Machines,Panic! At the Disco,A Fever You Can't Sweat Out
I Write Sins Not Tragedies,Panic! at the Disco,A Fever You Can't Sweat Out
The Only Difference Between Martyrdom and Suicide Is Press Coverage,Panic! At the Disco,A Fever You Can't Sweat Out
Camisado,Panic! At the Disco,A Fever You Can't Sweat Out
Still Into You,Paramore,Paramore
Misery Business,Paramore,Riot!
Hit Me With Your Best Shot,Pat Benatar,Crimes of Passion
Paranoia Blues,Paul Simon,Paul Simon
California,Phantom Planet,The Guest
Speak To Me/Breathe,Pink Floyd,Dark Side Of The Moon
On The Run,Pink Floyd,Dark Side Of The Moon
Time,Pink Floyd,Dark Side Of The Moon
The Great Gig In The Sky,Pink Floyd,Dark Side Of The Moon
Money,Pink Floyd,Dark Side Of The Moon
Us And Them,Pink Floyd,Dark Side Of The Moon
Any Colour You Like,Pink Floyd,Dark Side Of The Moon
Brain Damage,Pink Floyd,Dark Side Of The Moon
Eclipse,Pink Floyd,Dark Side Of The Moon
Hey Baby (Drop It To The Floor) (feat. T-Pain),Pitbull,Hey Baby (Drop It To The Floor) - Single
"Pitbull, Ne-Yo - Time Of Our Lives",Pitbull,
Timber ft. Ke$ha,Pitbull,
Stop,Plain White T's,Stop
Please Don't Do This,Plain White T's,Stop
What If,Plain White T's,Stop
Fireworks,Plain White T's,Stop
Leavin',Plain White T's,Stop
Shine,Plain White T's,Stop
Your Fault,Plain White T's,Stop
Happy Someday,Plain White T's,Stop
A Lonely September,Plain White T's,Stop
Can't Turn Away,Plain White T's,Stop
Penny (Perfect for You),Plain White T's,Stop
Radios in Heaven,Plain White T's,Stop
Such Great Heights,The Postal Service,Give Up
Sleeping In,The Postal Service,Give Up
Nothing Better,The Postal Service,Give Up
Clark Gable,The Postal Service,Give Up
The District Sleeps Alone,The Postal Service,Give Up
Recycled Air,The Postal Service,Give Up
We Will Rock You,Queen,Queen: Greatest Hits I & II
We Are the Champions,Queen,Queen: Greatest Hits I & II
Another One Bites the Dust,Queen,Queen: Greatest Hits I & II
Bicycle Race,Queen,Queen: Greatest Hits I & II
Bohemian Rhapsody,Queen,Queen: Greatest Hits I & II
Don't Stop Me Now,Queen,Queen: Greatest Hits I & II
Fat Bottomed Girls,Queen,Queen: Greatest Hits I & II
I Want To Break Free,Queen,Queen: Greatest Hits I & II
Somebody To Love,Queen,Queen: Greatest Hits I & II
You're My Best Friend,Queen,Queen: Greatest Hits I & II
I Believe I Can Fly,R Kelly,
I Believe I Can Fly,R. Kelly,R.
Be Be Your Love,Rachael Yamagata,Happenstance
Letter Read,Rachael Yamagata,Happenstance
I'll Find A Way,Rachael Yamagata,Happenstance
Reason Why,Rachael Yamagata,Happenstance
Worn Me Down,Rachael Yamagata,Happenstance
Reason Why,Rachael Yamagata,The Last Kiss
Fight Song,Rachel Platten,
Boyfriend,RaeLynn,Boyfriend - Single
Streets of London,Ralph McTell,"Why Did the Jack Say ""Yes?"""
How Country Feels,Randy Houser,
I'll Be Home for Christmas,Rascal Flatts,I'll Be Home For Christmas
Hit the Road Jack,Ray Charles,Oldies But Goodies
Up On The Housetop,Reba McEntire,Up on the Housetop
Fidelity,Regina Spektor,Begin To Hope
Better,Regina Spektor,Begin To Hope
Samson,Regina Spektor,Begin to Hope
Hotel Song,Regina Spektor,Begin To Hope
On The Radio,Regina Spektor,Begin To Hope
Be My Escape,Relient K,MMHMM
Who I Am Hates Who I've Been,Relient K,MMHMM
Rehab,Rihanna,A Girl Like Me
S.O.S.,Rihanna,A Girl Like Me
Don't Stop the Music,Rihanna,Good Girl Gone Bad
Take A Bow,Rihanna,Good Girl Gone Bad
Umbrella (feat. Jay-Z),Rihanna,Good Girl Gone Bad
Only Girl (In the World),Rihanna,Loud
What's My Name (feat. Drake),Rihanna,Loud
Hard (feat. Jeezy),Rihanna,Rated R
Rude Boy,Rihanna,Rated R
Russian Roulette,Rihanna,Rated R
Live Your Life,Rihanna,Rihanna
Portions for Foxes,Rilo Kiley,More Adventurous
Lonely No More,Rob Thomas,Lonely No More - Single
Do You Feel,The Rocket Summer,Do You Feel
Eye of the Tiger,Rocky theme song ,
Take a Back Road,Rodney Atkins,Country
You Can't Always Get What You Want,The Rolling Stones,Let It Bleed
A Drop in the Ocean,Ron Pope,The Bedroom Demos
Brave,Sara Bareilles,Brave - Single
Love You Like A Love Song,Selena Gomez,When the Sun Goes Down
Thatâs More Like It,Selena Gomez & The Scene,When The Sun Goes Down
Closing Time,Semisonic,"Why Did the Jack Say ""Yes?"""
Cry for You,September,September
Anarchy in the UK,Sex Pistols,Early Daze
Hips Dont Lie,Shakira,
Soak Up the Sun,Sheryl Crow,
Happy Together,Simple Plan,Freaky Friday Soundtrack
I'd Do Anything,Simple Plan,"No Pads, No Helmets... Just Balls"
The Worst Day Ever,Simple Plan,"No Pads, No Helmets... Just Balls"
You Don't Mean Anything,Simple Plan,"No Pads, No Helmets... Just Balls"
I'm Just A Kid,Simple Plan,"No Pads, No Helmets... Just Balls"
When I'm With You,Simple Plan,"No Pads, No Helmets... Just Balls"
Meet You There,Simple Plan,"No Pads, No Helmets... Just Balls"
Addicted,Simple Plan,"No Pads, No Helmets... Just Balls"
My Alien,Simple Plan,"No Pads, No Helmets... Just Balls"
God Must Hate Me,Simple Plan,"No Pads, No Helmets... Just Balls"
I Won't Be There,Simple Plan,"No Pads, No Helmets... Just Balls"
One Day,Simple Plan,"No Pads, No Helmets... Just Balls"
Perfect,Simple Plan,"No Pads, No Helmets... Just Balls"
Grow Up,Simple Plan,"No Pads, No Helmets... Just Balls"
Welcome to My Life,Simple Plan,Welcome to My Life - Single
It Sucks,Skye Sweetnam,Noise From the Basement
Tangled Up in Me,Skye Sweetnam,Noise from the Basement
Why Can't We Be Friends?,Smash Mouth,"Why Did the Jack Say ""Yes?"""
And I am telling you I'm not going,Jennifer Hudson,Dreamgirls OST
Missing You,Tyler Hilton,One Tree Hill Volume 2: Friends With Benefit
Halo,Haley James Scott,One Tree Hill Volume 2: Friends With Benefit
Spice Up Your Life,Spice Girls,
Wannabe,Spice Girls,
The Way We Get By,Spoon,Kill the Moonlight
Best of Me,The Starting Line,Say It Like You Mean It
Fit But You Know It,The Streets,"Why Did the Jack Say ""Yes?"""
When It's Over,Sugar Ray,Sugar Ray
Memory,Sugarcult,Memory - Single
One Girl Revolution,Superchick,Karaoke Superstars
Dead And Gone,T.I Ft. Justin Timberlake,NhacCuaTui.Com
Dynamite,Taio Cruz,Dynamite - Single
Beautiful Eyes,Taylor Swift,Beautiful Eyes EP
I Heart Question Mark,Taylor Swift,Beautiful Eyes EP
Fearless,Taylor Swift,Fearless
Fifteen,Taylor Swift,Fearless
Love Story,Taylor Swift,Fearless
Hey Stephen,Taylor Swift,Fearless
White Horse,Taylor Swift,Fearless
You Belong With Me,Taylor Swift,Fearless
Breathe,Taylor Swift,Fearless
Tell Me Why,Taylor Swift,Fearless
You're Not Sorry,Taylor Swift,Fearless
The Way I Loved You,Taylor Swift,Fearless
Forever & Always,Taylor Swift,Fearless
The Best Day,Taylor Swift,Fearless
Change,Taylor Swift,Fearless
I Knew You Were Trouble,Taylor Swift,Red (Deluxe Version)
Red,Taylor Swift,Red (Deluxe Version)
All Too Well,Taylor Swift,Red (Deluxe Version)
We Are Never Ever Getting Back Together,Taylor Swift,Red (Deluxe Version)
The Last Time (Feat. Gary Lightbody Of Snow Patrol),Taylor Swift,Red (Deluxe Version)
Everything Has Changed (Feat. Ed Sheeran),Taylor Swift,Red (Deluxe Version)
Begin Again,Taylor Swift,Red (Deluxe Version)
Come Back...Be Here,Taylor Swift,Red (Deluxe Version)
Girl at Home,Taylor Swift,Red (Deluxe Version)
Holy Ground,Taylor Swift,Red (Deluxe Version)
I Almost Do,Taylor Swift,Red (Deluxe Version)
The Lucky One,Taylor Swift,Red (Deluxe Version)
The Moment I Knew,Taylor Swift,Red (Deluxe Version)
Sad Beautiful Tragic,Taylor Swift,Red (Deluxe Version)
Starlight,Taylor Swift,Red (Deluxe Version)
State Of Grace,Taylor Swift,Red (Deluxe Version)
Stay Stay Stay,Taylor Swift,Red (Deluxe Version)
Treacherous,Taylor Swift,Red (Deluxe Version)
22,Taylor Swift,Red (Deluxe Version)
Mine,Taylor Swift,Speak Now (Deluxe Edition)
Sparks Fly,Taylor Swift,Speak Now (Deluxe Edition)
Back To December,Taylor Swift,Speak Now (Deluxe Edition)
Speak Now,Taylor Swift,Speak Now (Deluxe Edition)
Dear John,Taylor Swift,Speak Now (Deluxe Edition)
Mean,Taylor Swift,Speak Now (Deluxe Edition)
The Story Of Us,Taylor Swift,Speak Now (Deluxe Edition)
Never Grow Up,Taylor Swift,Speak Now (Deluxe Edition)
Enchanted,Taylor Swift,Speak Now (Deluxe Edition)
Better Than Revenge,Taylor Swift,Speak Now (Deluxe Edition)
Innocent,Taylor Swift,Speak Now (Deluxe Edition)
Haunted,Taylor Swift,Speak Now (Deluxe Edition)
Last Kiss,Taylor Swift,Speak Now (Deluxe Edition)
Long Live,Taylor Swift,Speak Now (Deluxe Edition)
Ours,Taylor Swift,Speak Now (Deluxe Edition)
If This Was a Movie,Taylor Swift,Speak Now (Deluxe Edition)
Superman,Taylor Swift,Speak Now (Deluxe Edition)
Tim McGraw,Taylor Swift,Taylor Swift
Picture To Burn,Taylor Swift,Taylor Swift
Teardrops On My Guitar,Taylor Swift,Taylor Swift
A Place in This World,Taylor Swift,Taylor Swift
Cold As You,Taylor Swift,Taylor Swift
The Outside,Taylor Swift,Taylor Swift
Tied Together With a Smile,Taylor Swift,Taylor Swift
Stay Beautiful,Taylor Swift,Taylor Swift
Should've Said No,Taylor Swift,Taylor Swift
Mary's Song (Oh My My My),Taylor Swift,Taylor Swift
Our Song,Taylor Swift,Taylor Swift
I'm Only Me When I'm With You,Taylor Swift,Taylor Swift
Invisible,Taylor Swift,Taylor Swift
Christmases When You Were Mine,Taylor Swift,The Taylor Swift Holiday Collection
Santa Baby,Taylor Swift,The Taylor Swift Holiday Collection
Silent Night,Taylor Swift,The Taylor Swift Holiday Collection
White Christmas,Taylor Swift,The Taylor Swift Holiday Collection
Christmas Must Be Something More,Taylor Swift,The Taylor Swift Holiday Collection
Last Christmas,Taylor Swift,The Taylor Swift Holiday Collection
Welcome to New York,Taylor Swift,1989 (Deluxe)
Blank Space,Taylor Swift,1989 (Deluxe)
Style,Taylor Swift,1989 (Deluxe)
Out Of The Woods,Taylor Swift,1989 (Deluxe)
All You Had to Do Was Stay,Taylor Swift,1989 (Deluxe)
Shake it Off,Taylor Swift,1989 (Deluxe)
I Wish You Would,Taylor Swift,1989 (Deluxe)
Wildest Dreams,Taylor Swift,1989 (Deluxe)
Bad Blood,Taylor Swift,1989 (Deluxe)
How You Get the Girl,Taylor Swift,1989 (Deluxe)
This Love,Taylor Swift,1989 (Deluxe)
I Know Places,Taylor Swift,1989 (Deluxe)
Clean,Taylor Swift,1989 (Deluxe)
Wonderland,Taylor Swift,1989 (Deluxe)
You R In Love,Taylor Swift,1989 (Deluxe)
New Romantics,Taylor Swift,1989 (Deluxe)
01 - This Is Country Music,Brad Paisley,Brad Paisley
"You're a Mean One, Mr Grinch",Thurl Ravenscroft,"You're a Mean One, Mr. Grinch"
The Way I Are,Timbaland,Shock Value
Proud Mary,Tina Turner,Proud Mary - The Best Of Ike & Tina Turner
Shut Up and Let Me Go,The Ting Tings,We Started Nothing
Made In America,Toby Keith,Made In America - Single
Just Fishin',Trace Adkins,Just Fishin' - Single
Billionaire,Travis McCoy,Lazarus
Glad,Tyler Hilton,One Tree Hill Vol. 1
Ordinary Day,Vanessa Carlton,Be Not Nobody
Unsung,Vanessa Carlton,Be Not Nobody
Pretty Baby,Vanessa Carlton,Be Not Nobody
Thousand Miles,Vanessa Carlton,Be Not Nobody
White Houses,Vanessa Carlton,Harmonium
Nolita Fairytale,Vanessa Carlton,Heroes And Thieves
Hands On Me,Vanessa Carlton,Heroes And Thieves
Spring Street,Vanessa Carlton,Heroes And Thieves
My Best,Vanessa Carlton,Heroes And Thieves
Come Undone,Vanessa Carlton,Heroes And Thieves
The One [With Stevie Nicks],Vanessa Carlton,Heroes And Thieves
Heroes And Thieves,Vanessa Carlton,Heroes And Thieves
This Time,Vanessa Carlton,Heroes And Thieves
Fools Like Me,Vanessa Carlton,Heroes And Thieves
Home,Vanessa Carlton,Heroes And Thieves
More Than This,Vanessa Carlton,Heroes And Thieves
Country Grammar (Sweet Home Alabama Remix),Nelly Vs. Lynard Skynard,Country Grammar
When It Comes,Tyler Hilton,Album
I Don't Wanna Be,Gavin DeGraw,Chariot
"Johnny Horton - Battle of New Orleans, The",Johnny Horton,Classic Country - Legendary Country
Maybe Next Year (X-Mas Song),Meiko,The Hotel CafŽ Presents Winter Songs
Overdrive,Katy Rose,Mean Girls (Soundtrack from the Motion Picture)
Little Moments,Brad Paisley,"Totally Country, Vol. 4"
Sweet Home Alabama,Lynyrd Skynyrd,20th Century Masters - The Millennium Collection: The Best of the '70s
Yankee Doodle Dandy,Various Artists,24 Children's Sing-A-Long Songs
Born In The USA,Bruce Springstien,80's Night Ultimate DJ Collection CD 14  S-T
You're no Good,Watty Robertson,Different
See You Again ft. Charlie Puth,Wiz Khalifa,Furious 7
"Young, Wild & Free ft Snoop Dogg",Wiz Khalifa,ThisSongIsSick.com
Ocean Avenue,Yellowcard,Ocean Avenue
Party Hard,Zach Gill,"This Warm December, a Brushfire Holiday P.2"
Clarity,Zedd,Clarity
No More  (Baby Iâma Do It Right),3LW,3LW
